mrož, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1
osel, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 4, 1, 1, 1, 1
neonka, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 4
krokodýl, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 4, 1, 0, 1, 3
orel, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 2, 1, 0, 1, 2
sklípkan, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 8, 0, 0, 0, 6
pralesnièka, 0, 0, 1, 0, 0, 1,1, 0, 1, 1, 1, 0, 4, 0, 0, 0, 5
ježura, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 4, 1, 0, 0, 1
axolotl, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 4, 1, 1, 0, 5
kaloò, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 2, 1, 0, 0, 1
medúza, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7
chameleon, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 4, 1, 0, 0, 3

